mean_base_quality	ref_start_1based	mapq	has_sa	sa_count	num_segments	sa_min_delta_pos	sa_max_delta_pos	sa_mean_delta_pos	sa_opp_strand_count	sa_max_mapq	sa_mean_mapq	sa_min_nm	sa_mean_nm	softclip_left	softclip_right	total_clipped_bases	breakpoint_read_pos	kmer_cosine_diff	kmer_js_divergence	microhomology_length	microhomology_gc
-1.0	-8.099899580038116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.31907542579075304	-0.37216997108094657	1.0	0.0
-1.0	-7.863405462267084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004866180048661261	0.0	1.0	0.0
-1.0	-7.67017569841918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6531630170316299	-0.7443659953625296	0.0	0.0
-1.0	-7.506802260939828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3378588807785875	-0.37216997108094657	1.0	1.0
-1.0	-7.128787634476134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02245742092457437	0.0	0.0	0.0
-1.0	-7.027775094545356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.31024330900243186	-0.37216997108094657	0.0	0.0
-1.0	-6.93555787062823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3475912408759127	0.372196024281583	0.0	0.0
-1.0	-6.850726248007853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3475912408759127	0.372196024281583	1.0	1.0
-1.0	-6.850726248007853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01868613138686108	0.0	1.0	1.0
-1.0	-6.850726248007853	-36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6524087591240872	-0.7443659953625296	1.0	1.0
-1.0	-6.699063752857197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3475912408759127	0.372196024281583	0.0	0.0
-1.0	-6.6306639244562176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018783454987834413	0.0	1.0	0.0
-1.0	-6.505833989009292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6094379124341003	0.5286339468194481	71.0	-23.983309002433074	-12.654404293567445	0.0	0.0
-1.0	-6.448531953080679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018783454987834413	0.0	3.0	0.0
-1.0	-6.448531953080679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3285401459853996	-0.37216997108094657	3.0	0.0
-1.0	-6.448531953080679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014014598540146486	0.0	3.0	0.0
-1.0	-6.394169806685185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3475912408759127	0.372196024281583	3.0	0.0
-1.0	-6.342460551529942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3285401459853996	-0.37216997108094657	0.0	0.0
-1.0	-6.293157266754406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009537712895378558	0.0	1.0	0.0
-1.0	-6.2009400428372805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0231386861313877	0.0	0.0	0.0
-1.0	-6.116108420216904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014014598540146486	0.0	0.0	0.0
-1.0	-6.0003757895296825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014257907542578468	0.0	1.0	0.0
-1.0	-5.863433385135469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.31956204379561975	-0.37216997108094657	2.0	1.0
-1.0	-5.801072487586897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3475912408759127	0.372196024281583	0.0	0.0
-1.0	-5.801072487586897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009659367396593198	0.0	0.0	0.0
-1.0	-5.771216161218343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009537712895378558	0.0	1.0	0.0
-1.0	-5.742177920183426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01868613138686108	0.0	0.0	0.0
-1.0	-5.686384538597966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009537712895378558	0.0	1.0	0.0
-1.0	-5.6595519788942354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027347931873479638	0.0	0.0	0.0
-1.0	-5.607842723738992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.31024330900243186	-0.37216997108094657	2.0	0.5
-1.0	-5.558539438963456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009537712895378558	0.0	0.0	0.0
-1.0	-5.53472204344731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009659367396593198	0.0	0.0	0.0
-1.0	-5.44446928625964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01868613138686108	0.0	0.0	0.0
-1.0	-5.44446928625964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014257907542578468	0.0	0.0	0.0
-1.0	-5.423057861123202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018321167883211757	0.0	0.0	0.0
-1.0	-5.423057861123202	-7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3475912408759127	0.372196024281583	0.0	0.0
-1.0	-5.381490592425954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3282725060827236	-0.37216997108094657	1.0	1.0
