pair_id	read_id	y_sim	read_length	mean_base_quality	ref_name	ref_start_1based	strand	mapq	cigar	has_sa	sa_count	num_segments	sa_diff_contig	sa_min_delta_pos	sa_max_delta_pos	sa_mean_delta_pos	sa_same_strand_count	sa_opp_strand_count	sa_max_mapq	sa_mean_mapq	sa_min_nm	sa_mean_nm	softclip_left	softclip_right	total_clipped_bases	breakpoint_read_pos	kmer_cosine_diff	kmer_js_divergence	microhomology_length	microhomology_gc	read_uid
NC_039553.1_3_540_8:0:0_6:0:0_ef2	NC_039553.1_3_540_8:0:0_6:0:0_ef2	0	150	13.0	NC_039553.1	3	0	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.9726	0.971429	1	0.0	NC_039553.1_3_540_8:0:0_6:0:0_ef2/F
NC_039553.1_4_430_13:0:0_11:0:0_243d	NC_039553.1_4_430_13:0:0_11:0:0_243d	0	150	13.0	NC_039553.1	4	0	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.985914	0.985714	1	0.0	NC_039553.1_4_430_13:0:0_11:0:0_243d/F
NC_039553.1_5_495_6:0:0_11:0:0_1d49	NC_039553.1_5_495_6:0:0_11:0:0_1d49	0	150	13.0	NC_039553.1	5	0	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.958869	0.957143	0	0.0	NC_039553.1_5_495_6:0:0_11:0:0_1d49/F
NC_039553.1_6_523_6:0:0_9:0:0_82c	NC_039553.1_6_523_6:0:0_9:0:0_82c	0	150	13.0	NC_039553.1	6	0	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.971828	0.971429	1	1.0	NC_039553.1_6_523_6:0:0_9:0:0_82c/F
NC_039553.1_9_574_7:0:0_7:0:0_181b	NC_039553.1_9_574_7:0:0_7:0:0_181b	0	150	13.0	NC_039553.1	9	0	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.986637	0.985714	0	0.0	NC_039553.1_9_574_7:0:0_7:0:0_181b/F
NC_039553.1_10_391_9:0:0_8:0:0_256b	NC_039553.1_10_391_9:0:0_8:0:0_256b	0	150	13.0	NC_039553.1	10	0	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.972963	0.971429	0	0.0	NC_039553.1_10_391_9:0:0_8:0:0_256b/F
NC_039553.1_11_509_6:0:0_11:0:0_a19	NC_039553.1_11_509_6:0:0_11:0:0_a19	0	150	13.0	NC_039553.1	11	0	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	0	0.0	NC_039553.1_11_509_6:0:0_11:0:0_a19/F
NC_039553.1_12_427_9:0:0_9:0:0_157	NC_039553.1_12_427_9:0:0_9:0:0_157	0	150	13.0	NC_039553.1	12	0	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	1	1.0	NC_039553.1_12_427_9:0:0_9:0:0_157/F
NC_039553.1_12_489_8:0:0_9:0:0_86f	NC_039553.1_12_489_8:0:0_9:0:0_86f	0	150	13.0	NC_039553.1	12	0	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.986482	0.985714	1	1.0	NC_039553.1_12_489_8:0:0_9:0:0_86f/F
NC_039553.1_12_593_13:0:0_13:0:0_2375	NC_039553.1_12_593_13:0:0_13:0:0_2375	0	150	13.0	NC_039553.1	12	0	24	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.9589	0.957143	1	1.0	NC_039553.1_12_593_13:0:0_13:0:0_2375/F
NC_039553.1_14_515_7:0:0_7:0:0_20a4	NC_039553.1_14_515_7:0:0_7:0:0_20a4	0	150	13.0	NC_039553.1	14	0	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	0	0.0	NC_039553.1_14_515_7:0:0_7:0:0_20a4/F
