read_id	label	read_length	mean_base_quality	ref_name	ref_start_1based	strand	mapq	cigar	has_sa	sa_count	num_segments	sa_diff_contig	sa_min_delta_pos	sa_max_delta_pos	sa_mean_delta_pos	sa_same_strand_count	sa_opp_strand_count	sa_max_mapq	sa_mean_mapq	sa_min_nm	sa_mean_nm	softclip_left	softclip_right	total_clipped_bases	breakpoint_read_pos	kmer_cosine_diff	kmer_js_divergence	microhomology_length	microhomology_gc
NC_039553.1_1_443_3:0:0_11:0:0_420	-1	150	13.000	NC_039553.1	1	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985714	1	1.000
NC_039553.1_2_468_10:0:0_8:0:0_2da3	-1	150	13.000	NC_039553.1	2	0	43	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985914	0.985714	0	0.000
NC_039553.1_2_448_8:0:0_9:0:0_3a21	-1	150	13.000	NC_039553.1	2	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	0	0.000
NC_039553.1_2_414_7:0:0_4:0:0_940	-1	150	13.000	NC_039553.1	2	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	0.000
NC_039553.1_5_515_11:0:0_6:0:0_3195	-1	150	13.000	NC_039553.1	5	0	53	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972211	0.971429	0	0.000
NC_039553.1_5_479_7:0:0_9:0:0_283a	-1	150	13.000	NC_039553.1	5	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.945159	0.942857	0	0.000
NC_039553.1_5_465_7:0:0_8:0:0_28d	-1	150	13.000	NC_039553.1	5	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972963	0.971429	0	0.000
NC_039553.1_5_548_6:0:0_15:0:0_44e9	-1	150	13.000	NC_039553.1	5	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.944423	0.942857	0	0.000
NC_039553.1_6_418_11:0:0_6:0:0_30d5	-1	150	13.000	NC_039553.1	6	0	53	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.943656	0.942857	1	1.000
NC_039553.1_6_482_8:0:0_10:0:0_2362	-1	150	13.000	NC_039553.1	6	0	14	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	1.000
NC_039553.1_8_464_5:0:0_2:0:0_1c53	-1	150	13.000	NC_039553.1	8	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972580	0.971429	0	0.000
NC_039553.1_9_495_9:0:0_8:0:0_1aa4	-1	150	13.000	NC_039553.1	9	0	58	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986665	0.985714	1	1.000
NC_039553.1_10_522_5:0:0_4:0:0_600	-1	150	13.000	NC_039553.1	10	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.973331	0.971429	0	0.000
NC_039553.1_11_564_7:0:0_9:0:0_4330	-1	150	13.000	NC_039553.1	11	0	55	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.959996	0.957143	0	0.000
NC_039553.1_12_525_12:0:0_8:0:0_2ca6	-1	150	13.000	NC_039553.1	12	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986486	0.985714	1	1.000
NC_039553.1_14_560_10:0:0_5:0:0_2302	-1	150	13.000	NC_039553.1	14	0	59	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	0	0.000
NC_039553.1_15_560_3:0:0_9:0:0_80c	-1	150	13.000	NC_039553.1	15	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986665	0.985714	1	0.000
NC_039553.1_16_488_8:0:0_2:0:0_2637	-1	150	13.000	NC_039553.1	16	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	1	0.000
NC_039553.1_17_502_8:0:0_9:0:0_3672	-1	150	13.000	NC_039553.1	17	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972963	0.971429	0	0.000
NC_039553.1_18_527_8:0:0_10:0:0_18e0	-1	150	13.000	NC_039553.1	18	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.958317	0.966037	3	0.000
NC_039553.1_18_554_4:0:0_8:0:0_b6a	-1	150	13.000	NC_039553.1	18	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	3	0.000
NC_039553.1_18_503_7:0:0_8:0:0_136	-1	150	13.000	NC_039553.1	18	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972973	0.971429	3	0.000
NC_039553.1_19_472_7:0:0_10:0:0_26ac	-1	150	13.000	NC_039553.1	19	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986106	0.985714	1	0.000
NC_039553.1_20_456_3:0:0_9:0:0_2b90	-1	150	13.000	NC_039553.1	20	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985714	0	0.000
NC_039553.1_21_484_10:0:0_7:0:0_33a7	-1	150	13.000	NC_039553.1	21	0	52	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.987012	0.985714	0	0.000
NC_039553.1_21_524_11:0:0_8:0:0_45f1	-1	150	13.000	NC_039553.1	21	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	0	0.000
NC_039553.1_21_457_8:0:0_10:0:0_3691	-1	150	13.000	NC_039553.1	21	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.945926	0.942857	2	0.500
NC_039553.1_23_517_4:0:0_4:0:0_fd8	-1	150	13.000	NC_039553.1	23	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.961009	0.957143	0	0.000
NC_039553.1_23_569_2:0:0_6:0:0_32ef	-1	150	13.000	NC_039553.1	23	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	0	0.000
NC_039553.1_24_568_11:0:0_4:0:0_3f7e	-1	150	13.000	NC_039553.1	24	0	56	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985714	0	0.000
NC_039553.1_24_490_6:0:0_3:0:0_44c	-1	150	13.000	NC_039553.1	24	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.945200	0.942857	0	0.000
NC_039553.1_25_595_10:0:0_7:0:0_404f	-1	150	13.000	NC_039553.1	25	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_26_467_4:0:0_6:0:0_8ae	-1	150	13.000	NC_039553.1	26	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_27_481_8:0:0_9:0:0_3b23	-1	150	13.000	NC_039553.1	27	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986665	0.985714	1	0.000
NC_039553.1_28_446_12:0:0_10:0:0_14db	-1	150	13.000	NC_039553.1	28	0	53	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	0.000
NC_039553.1_30_536_5:0:0_9:0:0_fe3	-1	150	13.000	NC_039553.1	30	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_32_490_3:0:0_7:0:0_12cb	-1	150	13.000	NC_039553.1	32	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	2	1.000
NC_039553.1_33_618_7:0:0_8:0:0_35dc	-1	150	13.000	NC_039553.1	33	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986300	0.985714	1	1.000
chimera_1439_A2-293_B1513-2020_MH3_33_578_0:0:0_0:0:0_0	-1	150	40.000	NC_039553.1	34	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	0	0.000
NC_039553.1_36_549_10:0:0_5:0:0_1bd4	-1	150	13.000	NC_039553.1	36	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_37_394_7:0:0_9:0:0_1111	-1	150	13.000	NC_039553.1	37	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	0.000
NC_039553.1_38_537_7:0:0_6:0:0_48c5	-1	150	13.000	NC_039553.1	38	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	0.000
NC_039553.1_38_507_7:0:0_7:0:0_1daa	-1	150	13.000	NC_039553.1	38	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	0.000
NC_039553.1_38_536_8:0:0_5:0:0_17bc	-1	150	13.000	NC_039553.1	38	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985714	1	0.000
NC_039553.1_39_487_9:0:0_8:0:0_3a07	-1	150	13.000	NC_039553.1	39	0	60	129M21S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	21	21	129	1.000000	1.000000	0	0.000
NC_039553.1_41_553_6:0:0_5:0:0_166a	-1	150	13.000	NC_039553.1	41	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	2	0.500
NC_039553.1_42_500_10:0:0_10:0:0_19e4	-1	150	13.000	NC_039553.1	42	0	17	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972600	0.971429	0	0.000
NC_039553.1_43_583_7:0:0_10:0:0_4490	-1	150	13.000	NC_039553.1	43	0	53	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972580	0.971429	0	0.000
NC_039553.1_44_494_9:0:0_5:0:0_8e2	-1	150	13.000	NC_039553.1	44	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	0	0.000
NC_039553.1_44_491_9:0:0_7:0:0_16e1	-1	150	13.000	NC_039553.1	44	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	0	0.000
NC_039553.1_44_469_7:0:0_10:0:0_203	-1	150	13.000	NC_039553.1	44	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	0	0.000
NC_039553.1_44_547_6:0:0_7:0:0_320b	-1	150	13.000	NC_039553.1	44	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986300	0.985714	0	0.000
NC_039553.1_44_510_11:0:0_4:0:0_2417	-1	150	13.000	NC_039553.1	44	0	54	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972963	0.971429	1	0.000
NC_039553.1_44_490_8:0:0_11:0:0_1144	-1	150	13.000	NC_039553.1	44	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986467	0.985714	0	0.000
