Artifact ID	Model family	Expected filename	Canonical path	Size	SHA-256	Required for	Expected input	Library	Tracked	Availability	Recommended storage	Notes
pair_noq_feature_cols_24	feature-schema	feature_cols_24.json	models/pair_noq_tuned/feature_cols_24.json	473 B	4a912ceb032be5beac6e204026087a4dccd035832a0316ceef2dccc5fcb432c7	schema validation and GB inference	24-feature pair-noq tabular frame metadata	json	Yes	TRACKED	Git repository	Canonical 24-feature order including `strand`; tracked and required for GB inference.
pair_noq_feature_cols_23_legacy	feature-schema	PAIR_feature_cols.json	models/pair_noq_tuned/PAIR_feature_cols.json	460 B	0deab82abe3caad19a9aa5884331dba05460615835a7e41aefc8b2533d66fb4d	legacy notebook provenance only	23-feature legacy pair-noq tabular metadata	json	Yes	TRACKED	Git repository	Tracked legacy schema missing `strand`; retained for provenance, not for canonical inference.
gradient_boosting_tuned_pair_noq	classical	gradient_boosting_tuned.joblib	models/pair_noq_tuned/gradient_boosting_tuned.joblib	501.0 KB	952d9b433decd1874a7054cb5e6977a5a8813def3cf0f001925ca2804eb256eb	GB inference and tuned-pair-noq analyses	24-feature pair-noq tabular frame	joblib + scikit-learn 1.5.2	No	LOCAL_ONLY	Git repository (pending researcher approval)	Local-only canonical GB artifact. Loaded successfully and produced deterministic example outputs; small enough for ordinary Git if approved.
catboost_tuned_pair_noq	classical	catboost_tuned.joblib	models/pair_noq_tuned/catboost_tuned.joblib	265.0 KB	7b24aa2411cf5a4c78e9b07c8c944017a075314099edf487f7f3de36b108f85f	CatBoost publication comparison analyses	24-feature pair-noq tabular frame	joblib + catboost	No	LOCAL_ONLY	GitHub release or external archive	Local-only tuned comparison artifact; not required for lightweight example workflow.
lightgbm_tuned_pair_noq	classical	lightgbm_tuned.joblib	models/pair_noq_tuned/lightgbm_tuned.joblib	684.6 KB	bdb05253674589b55aa8b2af28d22c13b0da1b871f9107be64896f3dc4a858e5	LightGBM publication comparison analyses	24-feature pair-noq tabular frame	joblib + lightgbm	No	LOCAL_ONLY	GitHub release or external archive	Local-only tuned comparison artifact.
xgboost_tuned_pair_noq	classical	xgboost_tuned.joblib	models/pair_noq_tuned/xgboost_tuned.joblib	444.1 KB	cd260c3c713817103252aa1d36edbadf08112f2f79a131f7eba08521511a8986	XGBoost publication comparison analyses	24-feature pair-noq tabular frame	joblib + xgboost	No	LOCAL_ONLY	GitHub release or external archive	Local-only tuned comparison artifact.
bagging_trees_tuned_pair_noq	classical	bagging_trees_tuned.joblib	models/pair_noq_tuned/bagging_trees_tuned.joblib	14.4 MB	bc01d5c8ae3feda2d01ecb0b02a5081c7b7948286a005960dbc090bd3f0bec91	Bagging publication comparison analyses	24-feature pair-noq tabular frame	joblib + scikit-learn	No	LOCAL_ONLY	External archive	Large local-only comparison artifact; not required for canonical release workflow.
extra_trees_tuned_pair_noq	classical	extra_trees_tuned.joblib	models/pair_noq_tuned/extra_trees_tuned.joblib	77.6 MB	6a12ef4b32a67c87b85d4b3f7741f594bbf56d9a44b2a4ed1d4ebcf65854b5b3	ExtraTrees publication comparison analyses	24-feature pair-noq tabular frame	joblib + scikit-learn	No	LOCAL_ONLY	External archive	Very large local-only comparison artifact; not suitable for routine Git tracking.
random_forest_tuned_pair_noq	classical	random_forest_tuned.joblib	models/pair_noq_tuned/random_forest_tuned.joblib	26.4 MB	5ee2f1abb332332d9813840946bb7f4ad753c5e30d5a07f77bf3384b4ca6b677	RandomForest publication comparison analyses	24-feature pair-noq tabular frame	joblib + scikit-learn	No	LOCAL_ONLY	External archive	Large local-only comparison artifact; not required for canonical release workflow.
logreg_l2_tuned_pair_noq	classical	logreg_l2_tuned.joblib	models/pair_noq_tuned/logreg_l2_tuned.joblib	1.1 KB	a9270749ec2ad59276e04775c31c7b4fcd8d43f0e300b21ff636b0c225c51103	LogReg publication comparison analyses	24-feature pair-noq tabular frame	joblib + scikit-learn	No	LOCAL_ONLY	GitHub release or external archive	Small local-only comparison artifact.
linear_svm_calibrated_tuned_pair_noq	classical	linear_svm_calibrated_tuned.joblib	models/pair_noq_tuned/linear_svm_calibrated_tuned.joblib	3.8 KB	c1b4855105bb07a51419bc085c5307d3538a658475a3187d843e2a0a7a9ae5d6	Linear SVM publication comparison analyses	24-feature pair-noq tabular frame	joblib + scikit-learn	No	LOCAL_ONLY	GitHub release or external archive	Small local-only comparison artifact.
mlp_tuned_pair_noq	classical	mlp_tuned.joblib	models/pair_noq_tuned/mlp_tuned.joblib	44.9 KB	831031bb06cf09b0764550ab2d43a00b1d0470dfb2c7518a97309a091116390e	MLP publication comparison analyses	24-feature pair-noq tabular frame	joblib + scikit-learn	No	LOCAL_ONLY	GitHub release or external archive	Local-only comparison artifact.
cnn1d_final_L150_seed42_fixedep25	deep	cnn_final.pt	models/deep/cnn_final_L150_seed42_fixedep25/cnn_final.pt	687.1 KB	e243a39299364f692702adac528aba05247965d429550cd25a36d7247381620c	CNN filtering and retained deep publication metrics	R1 one-hot sequence tensor with shape 4 x 150	torch	No	LOCAL_ONLY	GitHub release	Canonical CNN checkpoint retained locally; not tracked in fresh clones.
bigru_kmer_final_L150_seed42	deep	rnn_kmer_gru_best.pt	models/deep/rnnkmer_bigru_final_L150_seed42/rnn_kmer_gru_best.pt	2.2 MB	c9a8688eab1052fe987dc9bfd3e9c4959e500abb6cf99792f10f4cf589a869ae	BiGRU filtering and retained deep publication metrics	4-mer token sequence of length 147 derived from L=150 reads	torch	No	LOCAL_ONLY	GitHub release	Canonical BiGRU checkpoint retained locally; not tracked in fresh clones.
cnn1d_metadata_manifest	metadata	canonical_model_artifacts.json	models/metadata/canonical_model_artifacts.json	916 B	455bc1b95ec6991276428d6db6d72bd112c44fb26c28cd475332b6121ff4f267	artifact auditing	metadata only	json	Yes	TRACKED	Git repository	Tracked checksum manifest for selected canonical artifacts.
bilstm_cv30_fold0	deep-legacy	rnn_lstm_best.pt	models/deep/bilstm_cv30_L150_seed42/fold0/rnn_lstm_best.pt	2.5 MB	dd9979bdca4a90062bb39a55d5e09f988f4013c5675b8caac95a2b29adf51a12	legacy deep review only	legacy sequence LSTM input	torch	No	LOCAL_ONLY	External archive	Non-canonical legacy checkpoint; do not publish by default.
bilstm_cv30_fold1	deep-legacy	rnn_lstm_best.pt	models/deep/bilstm_cv30_L150_seed42/fold1/rnn_lstm_best.pt	670.9 KB	b0f80abaaa41e553f007161812eb584d68cbcdb0cf24c14cc416aff19851bdad	legacy deep review only	legacy sequence LSTM input	torch	No	LOCAL_ONLY	External archive	Non-canonical legacy checkpoint; do not publish by default.
bilstm_debug_fold0	deep-debug	rnn_lstm_best.pt	models/deep/bilstm_debug_L150/fold0/rnn_lstm_best.pt	2.5 MB	f4951723e479fd0b5ed7f4b68592aae08136f70b05b538deb6b028c180f1a360	debug provenance only	legacy sequence LSTM input	torch	No	LOCAL_ONLY	Do not publish	Debug-only checkpoint.
bilstm_debug2_fold0	deep-debug	rnn_lstm_best.pt	models/deep/bilstm_debug2_L150/fold0/rnn_lstm_best.pt	670.9 KB	5a342603051f7f5b6f1171c5da99be741f54abd4985cd60c0309144c109878b8	debug provenance only	legacy sequence LSTM input	torch	No	LOCAL_ONLY	Do not publish	Debug-only checkpoint.
bilstm_debug3_fold0	deep-debug	rnn_lstm_best.pt	models/deep/bilstm_debug3_L150/fold0_lr3e-3/rnn_lstm_best.pt	670.9 KB	5782705f2d3c6f932231b2d4ebc14b8eeac5138a7a2a62eb4505a1064422cfe0	debug provenance only	legacy sequence LSTM input	torch	No	LOCAL_ONLY	Do not publish	Debug-only checkpoint.
bigru_cv30_fold0	deep-cv	rnn_kmer_gru_best.pt	models/deep/rnnkmer_bigru_cv30_L150_seed42/fold0/rnn_kmer_gru_best.pt	2.2 MB	02bb3bc99a376f013f7c876ebce09b6b7bbe6546304cbdf67232825277db2f72	cross-validation review only	4-mer token sequence of length 147 derived from L=150 reads	torch	No	LOCAL_ONLY	External archive	Cross-validation checkpoint; not required for release inference.
bigru_cv30_fold1	deep-cv	rnn_kmer_gru_best.pt	models/deep/rnnkmer_bigru_cv30_L150_seed42/fold1/rnn_kmer_gru_best.pt	2.2 MB	3db905ff563cdb7b8686796568f89d68f7f2996b00eb2de2ac3a4e7a52bfd202	cross-validation review only	4-mer token sequence of length 147 derived from L=150 reads	torch	No	LOCAL_ONLY	External archive	Cross-validation checkpoint; not required for release inference.
bigru_cv30_fold2	deep-cv	rnn_kmer_gru_best.pt	models/deep/rnnkmer_bigru_cv30_L150_seed42/fold2/rnn_kmer_gru_best.pt	2.2 MB	4270d0b34aab37b5bf992a76a4bed5eadab8ee1a5a61e87572f1a98dc889de35	cross-validation review only	4-mer token sequence of length 147 derived from L=150 reads	torch	No	LOCAL_ONLY	External archive	Cross-validation checkpoint; not required for release inference.
bigru_cv30_fold3	deep-cv	rnn_kmer_gru_best.pt	models/deep/rnnkmer_bigru_cv30_L150_seed42/fold3/rnn_kmer_gru_best.pt	2.2 MB	5e30e553a4fee51501468ecfbeca2bb39013822a5ae848de9a2f491e2e5bc89a	cross-validation review only	4-mer token sequence of length 147 derived from L=150 reads	torch	No	LOCAL_ONLY	External archive	Cross-validation checkpoint; not required for release inference.
