read_id	read_length	mean_base_quality	ref_name	ref_start_1based	strand	mapq	cigar	has_sa	sa_count	num_segments	sa_diff_contig	sa_min_delta_pos	sa_max_delta_pos	sa_mean_delta_pos	sa_same_strand_count	sa_opp_strand_count	sa_max_mapq	sa_mean_mapq	sa_min_nm	sa_mean_nm	softclip_left	softclip_right	total_clipped_bases	breakpoint_read_pos	kmer_cosine_diff	kmer_js_divergence	microhomology_length	microhomology_gc	label
NC_039553.1_9230_9758_3:0:0_6:0:0_3c6	150	13.0	NC_039553.1	9609	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.971429	0.971429	2	0.5	0
chimera_1_A9831-10051_B14983-15061_MH0_193346_193857_0:0:0_0:0:0_267a	150	40.0	NC_039553.1	1290	+	60	105M45S	1	1	2	0	7464	7464	7464.0	1	0	26	26.0	0	0.0	0	45	45	75	0.942857	0.942857	0	0.0	1
NC_039553.1_544_1025_7:0:0_6:0:0_11e3	150	13.0	NC_039553.1	544	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.972963	0.971429	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_202689_203221_0:0:0_0:0:0_7fe	150	40.0	NC_039553.1	14995	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.918889	0.923179	1	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_253951_254479_0:0:0_0:0:0_1efc	150	40.0	NC_039553.1	6773	+	60	101M49S	1	1	2	0	6874	6874	6874.0	1	0	33	33.0	0	0.0	0	49	49	75	1.0	1.0	2	0.5	1
NC_039553.1_1644_2101_7:0:0_6:0:0_149c	150	13.0	NC_039553.1	1952	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.973274	0.971429	1	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_219617_220045_0:0:0_0:0:0_2238	150	40.0	NC_039553.1	10526	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.985914	0.985714	0	0.0	1
NC_039553.1_9062_9567_6:0:0_12:0:0_936	150	13.0	NC_039553.1	9062	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	1	1.0	0
NC_039553.1_7364_7889_6:0:0_12:0:0_d43	150	13.0	NC_039553.1	7364	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	3	0.333	0
chimera_1_A9831-10051_B14983-15061_MH0_222584_223164_0:0:0_0:0:0_11ba	150	40.0	NC_039553.1	3468	-	60	79M71S	1	1	2	0	1498	1498	1498.0	1	0	60	60.0	0	0.0	0	71	71	75	1.0	1.0	0	0.0	1
