Artifact ID	Dataset	Purpose	Expected filename	Format	Approximate size	Required for	Generated or external	Shareability status	SHA-256	Availability	Regeneration command	Notes
mt_ref_fasta	Sardinella lemuru mitochondrial reference	Portable canonical reference alias	mt_ref.fasta	FASTA	16.5 KB	simulation and GB feature extraction	external reference alias	Researcher should confirm redistribution terms for NC_039553.1 before external release	16b98fa60f7e8ffdddf9f012575dfc82231d672dbbb7d5a594748a5fdb619d8d	TRACKED	cp data/refs/original.fasta data/refs/mt_ref.fasta	NC_039553.1 Sardinella lemuru mitochondrion, complete genome; sequence length 16616 bp; canonical portable copy retained in Git.
original_reference_fasta	Sardinella lemuru mitochondrial reference	Original retained reference file	original.fasta	FASTA	16.5 KB	simulation and GB feature extraction	external reference	Researcher should confirm redistribution terms for NC_039553.1 before external release	16b98fa60f7e8ffdddf9f012575dfc82231d672dbbb7d5a594748a5fdb619d8d	TRACKED		NC_039553.1 Sardinella lemuru mitochondrion, complete genome; source accession retained in repository metadata.
chimera_reference_templates	Synthetic chimeric reference templates	Generated chimera template FASTA	chimera.fasta	FASTA	333.7 KB	simulation provenance	generated	Derived from the retained reference; review whether to keep as tracked generated data	a68082fea95f9a8f2dcdcb66151cf7e9df9759f31337690af02809d6123be63c	TRACKED	python3 scripts/data_prep/make_chimeric_templates.py --ref data/refs/original.fasta --out data/refs/chimera.fasta	Generated synthetic chimera template set retained from the original workflow.
chimera_clean_reference	Cleaned chimera template FASTA	chimera_clean.fasta	chimera_clean.fasta	FASTA	329.8 KB	simulation provenance	generated	Derived from the retained reference; review whether to keep as tracked generated data	cdf54a57473f5e9222f668e7b5a075a4985d8ceec898cb49905c377c5dec15ba	TRACKED	python3 scripts/data_prep/simulation.py	Cleaned chimera template FASTA retained from the original workflow.
reference_minimap2_index	Minimap2 reference index	ref.mmi	ref.mmi	MMI	185.1 KB	alignment and GB feature extraction	generated	Safe to redistribute, but fully regenerable from the reference FASTA	0c07491479b8ea2bd40643a173002fef0441479fb416fa49858fd70fcb0de32e	TRACKED	minimap2 -d data/refs/ref.mmi data/refs/original.fasta	Generated build output; retained but not essential for release if rebuild is preferred.
clean_feature_table_v1	Simulated clean feature table	clean_features_k6.tsv	data/features/v1/clean_features_k6.tsv	TSV	2.9 MB	dataset construction provenance	generated	Tracked retained publication-support data	ad31dea95001f81740a8173dc3ac74c8db11ef8919ef48bcffc88d46eb0e166e	TRACKED	python3 scripts/data_prep/extract_features.py ...	Canonical retained clean feature table used by dataset builders.
chimera_feature_table_v1	Simulated chimeric feature table	chimera_features_k6.tsv	data/features/v1/chimera_features_k6.tsv	TSV	3.6 MB	dataset construction provenance	generated	Tracked retained publication-support data	6ba9051f75b9711a1dbf03b2fea8174d5165cce4df14b964d540f11df3a782b1	TRACKED	python3 scripts/data_prep/extract_features.py ...	Canonical retained chimeric feature table used by dataset builders.
all_reads_pair_dataset	Merged feature dataset	all_reads.tsv	data/processed/all_reads.tsv	TSV	6.0 MB	EDA and dataset splitting	generated	Tracked retained publication-support data	5bed3fb14de51c639dc3ec9c26b5a15580f93eb1c3e6362d11252d9b229104de	TRACKED	python3 -m mitochime.cli build-dataset ...	Merged feature dataset retained for publication notebooks and dataset provenance.
pair_train_features	Pair-aware feature training split	PAIR_train.tsv	data/processed/PAIR_train.tsv	TSV	4.8 MB	pair-aware feature training	generated	Tracked retained publication dataset	d50e06af56bbbc9ee5536f48b05053593cbd85e955a2594dcde1bf1d2b631008	TRACKED	python3 -m mitochime.cli split ...	Canonical pair-aware feature training split.
pair_test_features	Pair-aware feature test split	PAIR_test.tsv	data/processed/PAIR_test.tsv	TSV	1.2 MB	pair-aware feature evaluation	generated	Tracked retained publication dataset	ead3a9c0739ead5b71d3bbc8ecb1c71c88fe39191e24acd301fa03b82d72f7ee	TRACKED	python3 -m mitochime.cli split ...	Canonical pair-aware feature test split.
